,car_model,year_of_manufacture,price,fuel
0,ritz,2014,500000.0,Petrol
1,sx4,2013,708955.22,Diesel
2,ciaz,2017,1082089.55,Petrol
3,wagon r,2011,425373.13,Petrol
4,swift,2014,686567.16,Diesel
5,vitara brezza,2018,1380597.01,Diesel
6,ciaz,2015,1007462.69,Petrol
7,s cross,2015,970149.25,Diesel
8,ciaz,2016,1305970.15,Diesel
9,ciaz,2015,1111940.3,Diesel
10,alto 800,2017,425373.13,Petrol
11,ciaz,2015,1022388.06,Diesel
12,ciaz,2015,1119402.99,Petrol
13,ertiga,2015,910447.76,Petrol
14,dzire,2009,335820.9,Petrol
15,ertiga,2016,1156716.42,Diesel
16,ertiga,2015,1082089.55,Diesel
17,ertiga,2016,1156716.42,Diesel
18,wagon r,2015,485074.63,CNG
19,sx4,2010,395522.39,Petrol
20,alto k10,2016,425373.13,Petrol
21,ignis,2017,731343.28,Petrol
22,sx4,2011,656716.42,Petrol
23,alto k10,2014,373134.33,Petrol
24,wagon r,2013,432835.82,Petrol
25,swift,2011,447761.19,Petrol
26,swift,2013,619402.99,Petrol
27,swift,2017,895522.39,Petrol
28,alto k10,2010,291044.78,Petrol
29,ciaz,2015,1111940.3,Diesel
30,ritz,2012,462686.57,Diesel
31,ritz,2011,350746.27,Petrol
32,swift,2014,738805.97,Diesel
33,ertiga,2014,895522.39,Diesel
34,dzire,2014,820895.52,Diesel
35,sx4,2011,440298.51,CNG
36,dzire,2015,694029.85,Petrol
37,800,2003,52238.81,Petrol
38,alto k10,2016,447761.19,Petrol
39,sx4,2003,335820.9,Petrol
40,fortuner,2012,2223880.6,Diesel
41,fortuner,2015,3432835.82,Diesel
42,innova,2017,2686567.16,Diesel
43,fortuner,2013,2388059.7,Diesel
44,innova,2005,410447.76,Petrol
45,corolla altis,2009,537313.43,Petrol
46,etios cross,2015,671641.79,Petrol
47,corolla altis,2010,708955.22,Petrol
48,etios g,2014,611940.3,Petrol
49,fortuner,2014,2983582.09,Diesel
50,baleno,2016,873134.33,Petrol
51,alto k10,2014,380597.01,Petrol
52,sx4,2008,291044.78,Petrol
53,dzire,2014,820895.52,Diesel
54,omni,2012,186567.16,Petrol
55,ciaz,2014,1119402.99,Petrol
56,ritz,2013,395522.39,Petrol
57,wagon r,2006,156716.42,Petrol
58,ertiga,2015,865671.64,Petrol
59,ciaz,2017,1156716.42,Petrol
60,corolla altis,2016,2198507.46,Diesel
61,etios gd,2015,708955.22,Diesel
62,innova,2017,3432835.82,Diesel
63,innova,2015,1865671.64,Diesel
64,innova,2005,520895.52,Diesel
65,camry,2006,373134.33,Petrol
66,land cruiser,2010,5223880.6,Diesel
67,corolla altis,2012,880597.01,Petrol
68,etios liva,2013,514925.37,Petrol
69,etios g,2014,708955.22,Petrol
70,etios liva,2014,589552.24,Diesel
71,corolla altis,2011,671641.79,Diesel
72,corolla altis,2013,1111940.3,Petrol
73,etios liva,2011,395522.39,Petrol
74,etios cross,2014,731343.28,Diesel
75,etios g,2015,589552.24,Petrol
76,corolla altis,2013,820895.52,Petrol
77,corolla,2004,223880.6,Petrol
78,corolla altis,2010,783582.09,Petrol
79,fortuner,2012,2164179.1,Diesel
80,corolla altis,2013,1037313.43,Petrol
81,etios cross,2015,671641.79,Petrol
82,fortuner,2014,2798507.46,Diesel
83,fortuner,2015,3507462.69,Diesel
84,fortuner,2017,4925373.13,Diesel
85,etios liva,2014,708955.22,Diesel
86,innova,2017,2947761.19,Petrol
87,fortuner,2010,1380597.01,Diesel
88,corolla altis,2011,649253.73,Petrol
89,corolla altis,2016,2126865.67,Petrol
